ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Christian Leroy Duncan,27,185,1.88,1,0,0,0,8,0,0,0
,Ikram Aliskerov,30,185,1.83,1,0,0,0,14,1,0,0
,Matt Brown,42,170,1.83,17,13,0,0,24,19,0,0
9,Rafael dos Anjos,38,170,1.73,21,12,0,0,32,14,0,0
,Tony Ferguson,39,170,1.8,15,6,0,0,25,8,0,0
,Robbie Lawler,41,170,1.8,15,12,0,0,29,16,0,1
,Court McGee,38,170,1.8,10,11,0,0,21,12,0,0
7,Stephen Thompson,40,170,1.83,12,6,1,0,17,6,1,0
,Tim Means,39,170,1.88,14,12,0,1,32,15,1,1
12,Michael Chiesa,35,170,1.85,11,6,0,0,18,6,0,0
,Gunnar Nelson,34,170,1.8,10,5,0,0,19,5,1,0
11,Neil Magny,35,170,1.91,20,9,0,0,27,10,0,0
,Santiago Ponzinibbio,36,170,1.83,11,6,0,0,29,7,0,0
,Li Jingliang,35,170,1.83,11,6,0,0,19,8,0,0
,Warlley Alves,32,170,1.8,8,6,0,0,14,6,0,0
,Jake Matthews,28,170,1.75,11,6,0,0,18,6,0,0
5,Gilbert Burns,36,170,1.78,15,6,0,0,22,6,0,0
2,Colby Covington,35,170,1.8,12,3,0,0,17,3,0,0
0,Leon Edwards,31,170,1.83,13,2,0,1,21,3,0,1
,Bryan Barberena,34,170,1.83,9,8,0,0,18,10,0,0
,Elizeu Zaleski dos Santos,36,170,1.8,10,3,0,0,24,7,0,0
,Nicolas Dalby,38,170,1.8,5,3,1,2,21,4,1,2
1,Kamaru Usman,36,170,1.83,13,2,0,0,21,3,0,0
10,Vicente Luque,31,170,1.8,14,5,0,0,21,9,1,0
,Lyman Good,38,170,1.83,3,3,0,0,21,5,0,1
,Danny Roberts,35,170,1.83,7,5,0,0,18,6,0,0
,Alex Morono,32,170,1.8,12,5,0,1,23,8,0,1
,Randy Brown,32,170,1.91,10,5,0,0,16,5,0,0
3,Belal Muhammad,34,170,1.78,14,3,0,1,23,3,0,1
,Max Griffin,37,170,1.83,7,7,0,0,19,9,0,0
,Niko Price,33,170,1.83,7,6,0,2,15,6,0,2
,Trevin Giles,30,170,1.83,7,4,0,0,16,4,0,0
